iter	Passed	Remaining
420	2476	3405
421	2482	3400
422	2489	3395
423	2496	3390
424	2502	3385
425	2508	3380
426	2515	3375
427	2522	3370
428	2528	3365
429	2535	3360
430	2544	3359
431	2551	3354
432	2557	3349
433	2564	3344
434	2571	3340
435	2578	3335
436	2584	3330
437	2591	3325
438	2597	3319
439	2604	3314
440	2612	3311
441	2620	3307
442	2627	3303
443	2634	3298
444	2642	3295
445	2649	3290
446	2660	3291
447	2666	3285
448	2673	3280
449	2679	3274
450	2686	3269
451	2692	3264
452	2698	3258
453	2704	3252
454	2710	3247
455	2716	3241
456	2722	3235
457	2728	3229
458	2734	3223
459	2740	3217
460	2746	3210
461	2752	3205
462	2758	3199
463	2764	3192
464	2769	3186
465	2775	3180
466	2781	3174
467	2787	3168
468	2792	3162
469	2798	3156
470	2804	3150
471	2810	3144
472	2816	3138
473	2822	3131
474	2828	3125
475	2833	3119
476	2840	3113
477	2846	3108
478	2852	3102
479	2857	3095
480	2863	3090
481	2869	3083
482	2875	3077
483	2881	3071
484	2887	3065
485	2892	3059
486	2898	3053
487	2904	3047
488	2910	3041
489	2916	3035
490	2921	3029
491	2927	3023
492	2933	3017
493	2939	3011
494	2945	3005
495	2951	2999
496	2957	2993
497	2963	2987
498	2969	2981
499	2975	2975
500	2981	2969
501	2987	2964
502	2993	2958
503	2999	2952
504	3005	2946
505	3065	2992
506	3071	2987
507	3078	2981
508	3084	2975
509	3091	2970
510	3098	2964
511	3104	2959
512	3110	2953
513	3116	2946
514	3122	2940
515	3128	2934
516	3134	2928
517	3140	2922
518	3146	2916
519	3152	2909
520	3158	2903
521	3163	2897
522	3169	2890
523	3175	2884
524	3182	2879
525	3194	2878
526	3200	2872
527	3206	2866
528	3212	2860
529	3219	2855
530	3225	2849
531	3231	2842
532	3236	2836
533	3242	2829
534	3248	2823
535	3253	2816
536	3259	2810
537	3265	2803
538	3270	2797
539	3276	2791
540	3282	2784
541	3288	2778
542	3293	2772
543	3299	2765
544	3304	2758
545	3310	2752
546	3315	2745
547	3321	2739
548	3327	2733
549	3333	2727
550	3338	2720
551	3344	2714
552	3350	2708
553	3356	2702
554	3362	2695
555	3367	2689
556	3373	2683
557	3379	2676
558	3385	2670
559	3391	2664
560	3396	2658
561	3402	2651
562	3407	2645
563	3413	2639
564	3420	2633
565	3425	2626
566	3431	2620
567	3437	2614
568	3444	2608
569	3450	2602
570	3455	2596
571	3461	2590
572	3467	2583
573	3472	2577
574	3478	2571
575	3484	2565
576	3490	2559
577	3496	2552
578	3501	2546
579	3507	2539
580	3513	2533
581	3519	2527
582	3525	2521
583	3530	2515
584	3536	2508
585	3542	2502
586	3547	2495
587	3553	2489
588	3558	2483
589	3564	2476
590	3569	2470
591	3575	2463
592	3580	2457
593	3586	2451
594	3591	2444
595	3597	2438
596	3602	2431
597	3608	2425
598	3614	2419
599	3619	2413
600	3625	2406
601	3631	2401
602	3637	2394
603	3643	2388
604	3649	2382
605	3655	2376
606	3660	2370
607	3666	2363
608	3671	2357
609	3676	2350
610	3682	2344
611	3688	2338
612	3693	2332
613	3699	2325
614	3705	2319
615	3711	2313
616	3716	2307
617	3722	2301
618	3728	2295
619	3734	2288
620	3740	2282
621	3745	2276
622	3751	2270
623	3756	2263
624	3762	2257
625	3768	2251
626	3773	2244
627	3778	2238
628	3784	2232
629	3789	2225
630	3795	2219
631	3800	2213
632	3806	2206
633	3812	2200
634	3818	2194
635	3824	2188
636	3829	2182
637	3835	2176
638	3841	2170
639	3846	2163
640	3852	2157
641	3857	2151
642	3863	2145
643	3869	2139
644	3875	2132
645	3880	2126
646	3886	2120
647	3892	2114
648	3897	2107
